name,county,county_code
Lunca,Alba,AB
Macaresti,Alba,AB
Bradesti,Alba,AB
Heleresti,Alba,AB
Peste Valea Bistrii,Alba,AB
Bradet,Alba,AB
Dilimani,Alba,AB
Mamaligani,Alba,AB
Oncesti,Alba,AB
Valea Giogesti,Alba,AB
Furduiesti,Alba,AB
Bobaresti,Alba,AB
Bodresti,Alba,AB
Cheile Cibului,Alba,AB
Mihaiesti,Alba,AB
Munesti,Alba,AB
Nicoresti,Alba,AB
Valcaneasa,Alba,AB
Avramesti,Alba,AB
Dosu Luncii,Alba,AB
Dumacesti,Alba,AB
Dumbravita,Alba,AB
Lazesti,Alba,AB
Magura,Alba,AB
Tolacesti,Alba,AB
Moraresti,Alba,AB
Vartanesti,Alba,AB
Butesti,Alba,AB
Curpeni,Alba,AB
Iacobesti,Alba,AB
Lupseni,Alba,AB
Napaiesti,Alba,AB
Dealu Ferului,Alba,AB
Floresti,Alba,AB
Valea Utului,Alba,AB
Vasesti,Alba,AB
Novacesti,Alba,AB
Ponorel,Alba,AB
Runc,Alba,AB
Stefanca,Alba,AB
Surdesti,Alba,AB
Valea lui Mihai,Alba,AB
Vladesti,Alba,AB
Bulbuc,Alba,AB
Cartulesti,Alba,AB
Curmatura,Alba,AB
Niculesti,Alba,AB
Ocnisoara,Alba,AB
Racatau,Alba,AB
Gura Cutului,Alba,AB
Soicesti,Alba,AB
Taranesti,Alba,AB
Barbesti,Alba,AB
Burzesti,Alba,AB
Dealu Roatei,Alba,AB
Barzan,Alba,AB
Hategana,Alba,AB
Jojei,Alba,AB
Lupaiesti,Alba,AB
Poienita,Alba,AB
Salagesti,Alba,AB
Totesti,Alba,AB
Valea Barlutesti,Alba,AB
Grosi,Alba,AB
Valea Poienii,Alba,AB
Casoaia,Alba,AB
Morcanesti,Alba,AB
Raicani,Alba,AB
Baba,Alba,AB
Barzogani,Alba,AB
Deoncesti,Alba,AB
Fantanele,Alba,AB
Feresti,Alba,AB
Lupulesti,Alba,AB
Parau-Carbunari,Alba,AB
Urdes,Alba,AB
Valcea,Alba,AB
Deve,Alba,AB
Nelegesti,Alba,AB
Segaj,Alba,AB
Tamboresti,Alba,AB
Padure,Alba,AB
Pitarcesti,Alba,AB
Trancesti,Alba,AB
